Report Date,Variant,Greek Letter Name,Health District,Region Name,Number of Infections,Number of Hospitalizations,Number of Deaths
06/18/2021,B.1.1.7,Alpha,Alexandria,Northern,39,1,0
06/18/2021,B.1.1.7,Alpha,Alleghany,Southwest,72,6,2
06/18/2021,B.1.1.7,Alpha,Arlington,Northern,67,3,0
06/18/2021,B.1.1.7,Alpha,Blue Ridge,Northwest,64,2,1
06/18/2021,B.1.1.7,Alpha,Central Shenandoah,Northwest,36,0,0
06/18/2021,B.1.1.7,Alpha,Central Virginia,Southwest,99,7,3
06/18/2021,B.1.1.7,Alpha,Chesapeake,Eastern,70,2,2
06/18/2021,B.1.1.7,Alpha,Chesterfield,Central,119,5,1
06/18/2021,B.1.1.7,Alpha,Chickahominy,Central,64,0,1
06/18/2021,B.1.1.7,Alpha,Crater,Central,74,6,1
06/18/2021,B.1.1.7,Alpha,Cumberland Plateau,Southwest,18,2,0
06/18/2021,B.1.1.7,Alpha,Eastern Shore,Eastern,13,1,0
06/18/2021,B.1.1.7,Alpha,Fairfax,Northern,224,7,1
06/18/2021,B.1.1.7,Alpha,Hampton,Eastern,29,0,0
06/18/2021,B.1.1.7,Alpha,Henrico,Central,102,4,2
06/18/2021,B.1.1.7,Alpha,Lenowisco,Southwest,17,1,0
06/18/2021,B.1.1.7,Alpha,Lord Fairfax,Northwest,60,2,0
06/18/2021,B.1.1.7,Alpha,Loudoun,Northern,98,2,1
06/18/2021,B.1.1.7,Alpha,Mount Rogers,Southwest,218,16,2
06/18/2021,B.1.1.7,Alpha,New River,Southwest,75,4,0
06/18/2021,B.1.1.7,Alpha,Norfolk,Eastern,40,3,2
06/18/2021,B.1.1.7,Alpha,Peninsula,Eastern,76,3,1
06/18/2021,B.1.1.7,Alpha,Piedmont,Central,48,3,0
06/18/2021,B.1.1.7,Alpha,Pittsylvania-Danville,Southwest,15,1,1
06/18/2021,B.1.1.7,Alpha,Portsmouth,Eastern,42,2,0
06/18/2021,B.1.1.7,Alpha,Prince William,Northern,92,1,0
06/18/2021,B.1.1.7,Alpha,Rappahannock,Northwest,88,3,2
06/18/2021,B.1.1.7,Alpha,Rappahannock Rapidan,Northwest,42,4,0
06/18/2021,B.1.1.7,Alpha,Richmond,Central,58,2,0
06/18/2021,B.1.1.7,Alpha,Roanoke,Southwest,32,6,1
06/18/2021,B.1.1.7,Alpha,Southside,Central,9,0,0
06/18/2021,B.1.1.7,Alpha,Three Rivers,Eastern,25,1,0
06/18/2021,B.1.1.7,Alpha,Virginia Beach,Eastern,64,1,1
06/18/2021,B.1.1.7,Alpha,West Piedmont,Southwest,42,12,0
06/18/2021,B.1.1.7,Alpha,Western Tidewater,Eastern,47,2,0
06/18/2021,B.1.351,Beta,Alexandria,Northern,0,0,0
06/18/2021,B.1.351,Beta,Alleghany,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Arlington,Northern,0,0,0
06/18/2021,B.1.351,Beta,Blue Ridge,Northwest,0,0,0
06/18/2021,B.1.351,Beta,Central Shenandoah,Northwest,0,0,0
06/18/2021,B.1.351,Beta,Central Virginia,Southwest,2,0,0
06/18/2021,B.1.351,Beta,Chesapeake,Eastern,17,2,2
06/18/2021,B.1.351,Beta,Chesterfield,Central,3,0,0
06/18/2021,B.1.351,Beta,Chickahominy,Central,2,0,0
06/18/2021,B.1.351,Beta,Crater,Central,4,1,0
06/18/2021,B.1.351,Beta,Cumberland Plateau,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Eastern Shore,Eastern,2,0,0
06/18/2021,B.1.351,Beta,Fairfax,Northern,6,0,0
06/18/2021,B.1.351,Beta,Hampton,Eastern,8,2,0
06/18/2021,B.1.351,Beta,Henrico,Central,2,0,0
06/18/2021,B.1.351,Beta,Lenowisco,Southwest,2,1,1
06/18/2021,B.1.351,Beta,Lord Fairfax,Northwest,1,0,0
06/18/2021,B.1.351,Beta,Loudoun,Northern,3,0,0
06/18/2021,B.1.351,Beta,Mount Rogers,Southwest,1,0,0
06/18/2021,B.1.351,Beta,New River,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Norfolk,Eastern,7,1,0
06/18/2021,B.1.351,Beta,Peninsula,Eastern,4,0,0
06/18/2021,B.1.351,Beta,Piedmont,Central,2,0,0
06/18/2021,B.1.351,Beta,Pittsylvania-Danville,Southwest,1,0,0
06/18/2021,B.1.351,Beta,Portsmouth,Eastern,12,3,0
06/18/2021,B.1.351,Beta,Prince William,Northern,3,1,0
06/18/2021,B.1.351,Beta,Rappahannock,Northwest,1,0,0
06/18/2021,B.1.351,Beta,Rappahannock Rapidan,Northwest,1,0,0
06/18/2021,B.1.351,Beta,Richmond,Central,2,0,0
06/18/2021,B.1.351,Beta,Roanoke,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Southside,Central,0,0,0
06/18/2021,B.1.351,Beta,Three Rivers,Eastern,1,0,0
06/18/2021,B.1.351,Beta,Virginia Beach,Eastern,20,1,0
06/18/2021,B.1.351,Beta,West Piedmont,Southwest,0,0,0
06/18/2021,B.1.351,Beta,Western Tidewater,Eastern,4,0,0
06/18/2021,B.1.427,Epsilon,Alexandria,Northern,0,0,0
06/18/2021,B.1.427,Epsilon,Alleghany,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Arlington,Northern,2,0,0
06/18/2021,B.1.427,Epsilon,Blue Ridge,Northwest,17,2,0
06/18/2021,B.1.427,Epsilon,Central Shenandoah,Northwest,0,0,0
06/18/2021,B.1.427,Epsilon,Central Virginia,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Chesapeake,Eastern,2,0,0
06/18/2021,B.1.427,Epsilon,Chesterfield,Central,6,1,0
06/18/2021,B.1.427,Epsilon,Chickahominy,Central,5,0,0
06/18/2021,B.1.427,Epsilon,Crater,Central,4,0,0
06/18/2021,B.1.427,Epsilon,Cumberland Plateau,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Eastern Shore,Eastern,0,0,0
06/18/2021,B.1.427,Epsilon,Fairfax,Northern,1,0,0
06/18/2021,B.1.427,Epsilon,Hampton,Eastern,2,0,0
06/18/2021,B.1.427,Epsilon,Henrico,Central,0,0,0
06/18/2021,B.1.427,Epsilon,Lenowisco,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Lord Fairfax,Northwest,0,0,0
06/18/2021,B.1.427,Epsilon,Loudoun,Northern,2,0,0
06/18/2021,B.1.427,Epsilon,Mount Rogers,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,New River,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Norfolk,Eastern,8,1,0
06/18/2021,B.1.427,Epsilon,Peninsula,Eastern,1,0,0
06/18/2021,B.1.427,Epsilon,Piedmont,Central,0,0,0
06/18/2021,B.1.427,Epsilon,Pittsylvania-Danville,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Portsmouth,Eastern,6,1,0
06/18/2021,B.1.427,Epsilon,Prince William,Northern,1,0,0
06/18/2021,B.1.427,Epsilon,Rappahannock,Northwest,3,0,0
06/18/2021,B.1.427,Epsilon,Rappahannock Rapidan,Northwest,2,0,0
06/18/2021,B.1.427,Epsilon,Richmond,Central,2,0,1
06/18/2021,B.1.427,Epsilon,Roanoke,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Southside,Central,0,0,0
06/18/2021,B.1.427,Epsilon,Three Rivers,Eastern,1,0,0
06/18/2021,B.1.427,Epsilon,Virginia Beach,Eastern,3,0,0
06/18/2021,B.1.427,Epsilon,West Piedmont,Southwest,0,0,0
06/18/2021,B.1.427,Epsilon,Western Tidewater,Eastern,1,0,0
06/18/2021,B.1.429,Epsilon,Alexandria,Northern,3,0,0
06/18/2021,B.1.429,Epsilon,Alleghany,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Arlington,Northern,2,0,0
06/18/2021,B.1.429,Epsilon,Blue Ridge,Northwest,1,0,0
06/18/2021,B.1.429,Epsilon,Central Shenandoah,Northwest,7,0,1
06/18/2021,B.1.429,Epsilon,Central Virginia,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Chesapeake,Eastern,1,0,0
06/18/2021,B.1.429,Epsilon,Chesterfield,Central,0,0,0
06/18/2021,B.1.429,Epsilon,Chickahominy,Central,0,0,0
06/18/2021,B.1.429,Epsilon,Crater,Central,1,0,0
06/18/2021,B.1.429,Epsilon,Cumberland Plateau,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Eastern Shore,Eastern,0,0,0
06/18/2021,B.1.429,Epsilon,Fairfax,Northern,4,0,0
06/18/2021,B.1.429,Epsilon,Hampton,Eastern,0,0,0
06/18/2021,B.1.429,Epsilon,Henrico,Central,2,0,0
06/18/2021,B.1.429,Epsilon,Lenowisco,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Lord Fairfax,Northwest,0,0,0
06/18/2021,B.1.429,Epsilon,Loudoun,Northern,2,0,0
06/18/2021,B.1.429,Epsilon,Mount Rogers,Southwest,1,0,0
06/18/2021,B.1.429,Epsilon,New River,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Norfolk,Eastern,1,0,0
06/18/2021,B.1.429,Epsilon,Peninsula,Eastern,7,0,0
06/18/2021,B.1.429,Epsilon,Piedmont,Central,0,0,0
06/18/2021,B.1.429,Epsilon,Pittsylvania-Danville,Southwest,1,0,0
06/18/2021,B.1.429,Epsilon,Portsmouth,Eastern,0,0,0
06/18/2021,B.1.429,Epsilon,Prince William,Northern,7,2,0
06/18/2021,B.1.429,Epsilon,Rappahannock,Northwest,0,0,0
06/18/2021,B.1.429,Epsilon,Rappahannock Rapidan,Northwest,3,0,0
06/18/2021,B.1.429,Epsilon,Richmond,Central,1,0,0
06/18/2021,B.1.429,Epsilon,Roanoke,Southwest,2,1,0
06/18/2021,B.1.429,Epsilon,Southside,Central,0,0,0
06/18/2021,B.1.429,Epsilon,Three Rivers,Eastern,1,0,0
06/18/2021,B.1.429,Epsilon,Virginia Beach,Eastern,5,0,0
06/18/2021,B.1.429,Epsilon,West Piedmont,Southwest,0,0,0
06/18/2021,B.1.429,Epsilon,Western Tidewater,Eastern,2,0,0
06/18/2021,B.1.617.2,Delta,Alexandria,Northern,1,0,0
06/18/2021,B.1.617.2,Delta,Alleghany,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Arlington,Northern,0,0,0
06/18/2021,B.1.617.2,Delta,Blue Ridge,Northwest,0,0,0
06/18/2021,B.1.617.2,Delta,Central Shenandoah,Northwest,3,1,0
06/18/2021,B.1.617.2,Delta,Central Virginia,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Chesapeake,Eastern,1,1,0
06/18/2021,B.1.617.2,Delta,Chesterfield,Central,1,0,0
06/18/2021,B.1.617.2,Delta,Chickahominy,Central,2,0,0
06/18/2021,B.1.617.2,Delta,Crater,Central,2,0,0
06/18/2021,B.1.617.2,Delta,Cumberland Plateau,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Eastern Shore,Eastern,1,0,0
06/18/2021,B.1.617.2,Delta,Fairfax,Northern,5,1,0
06/18/2021,B.1.617.2,Delta,Hampton,Eastern,0,0,0
06/18/2021,B.1.617.2,Delta,Henrico,Central,13,2,0
06/18/2021,B.1.617.2,Delta,Lenowisco,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Lord Fairfax,Northwest,2,0,0
06/18/2021,B.1.617.2,Delta,Loudoun,Northern,3,0,0
06/18/2021,B.1.617.2,Delta,Mount Rogers,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,New River,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Norfolk,Eastern,3,0,0
06/18/2021,B.1.617.2,Delta,Peninsula,Eastern,0,0,0
06/18/2021,B.1.617.2,Delta,Piedmont,Central,0,0,0
06/18/2021,B.1.617.2,Delta,Pittsylvania-Danville,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Portsmouth,Eastern,0,0,0
06/18/2021,B.1.617.2,Delta,Prince William,Northern,3,0,0
06/18/2021,B.1.617.2,Delta,Rappahannock,Northwest,0,0,0
06/18/2021,B.1.617.2,Delta,Rappahannock Rapidan,Northwest,0,0,0
06/18/2021,B.1.617.2,Delta,Richmond,Central,0,0,0
06/18/2021,B.1.617.2,Delta,Roanoke,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Southside,Central,0,0,0
06/18/2021,B.1.617.2,Delta,Three Rivers,Eastern,1,1,0
06/18/2021,B.1.617.2,Delta,Virginia Beach,Eastern,0,0,0
06/18/2021,B.1.617.2,Delta,West Piedmont,Southwest,0,0,0
06/18/2021,B.1.617.2,Delta,Western Tidewater,Eastern,0,0,0
06/18/2021,P.1,Gamma,Alexandria,Northern,1,0,0
06/18/2021,P.1,Gamma,Alleghany,Southwest,1,0,0
06/18/2021,P.1,Gamma,Arlington,Northern,1,0,0
06/18/2021,P.1,Gamma,Blue Ridge,Northwest,4,0,0
06/18/2021,P.1,Gamma,Central Shenandoah,Northwest,1,0,0
06/18/2021,P.1,Gamma,Central Virginia,Southwest,4,0,0
06/18/2021,P.1,Gamma,Chesapeake,Eastern,5,2,0
06/18/2021,P.1,Gamma,Chesterfield,Central,0,0,0
06/18/2021,P.1,Gamma,Chickahominy,Central,0,0,0
06/18/2021,P.1,Gamma,Crater,Central,0,0,0
06/18/2021,P.1,Gamma,Cumberland Plateau,Southwest,0,0,0
06/18/2021,P.1,Gamma,Eastern Shore,Eastern,0,0,0
06/18/2021,P.1,Gamma,Fairfax,Northern,6,0,0
06/18/2021,P.1,Gamma,Hampton,Eastern,0,0,0
06/18/2021,P.1,Gamma,Henrico,Central,2,0,0
06/18/2021,P.1,Gamma,Lenowisco,Southwest,2,1,1
06/18/2021,P.1,Gamma,Lord Fairfax,Northwest,3,1,0
06/18/2021,P.1,Gamma,Loudoun,Northern,10,0,0
06/18/2021,P.1,Gamma,Mount Rogers,Southwest,2,0,0
06/18/2021,P.1,Gamma,New River,Southwest,0,0,0
06/18/2021,P.1,Gamma,Norfolk,Eastern,5,0,0
06/18/2021,P.1,Gamma,Peninsula,Eastern,1,0,0
06/18/2021,P.1,Gamma,Piedmont,Central,0,0,0
06/18/2021,P.1,Gamma,Pittsylvania-Danville,Southwest,0,0,0
06/18/2021,P.1,Gamma,Portsmouth,Eastern,5,1,0
06/18/2021,P.1,Gamma,Prince William,Northern,1,0,0
06/18/2021,P.1,Gamma,Rappahannock,Northwest,1,0,0
06/18/2021,P.1,Gamma,Rappahannock Rapidan,Northwest,4,0,0
06/18/2021,P.1,Gamma,Richmond,Central,1,1,0
06/18/2021,P.1,Gamma,Roanoke,Southwest,1,0,0
06/18/2021,P.1,Gamma,Southside,Central,1,0,0
06/18/2021,P.1,Gamma,Three Rivers,Eastern,1,1,1
06/18/2021,P.1,Gamma,Virginia Beach,Eastern,4,0,0
06/18/2021,P.1,Gamma,West Piedmont,Southwest,2,1,0
06/18/2021,P.1,Gamma,Western Tidewater,Eastern,1,0,0
06/25/2021,B.1.1.7,Alpha,Alexandria,Northern,39,1,0
06/25/2021,B.1.1.7,Alpha,Alleghany,Southwest,72,6,2
06/25/2021,B.1.1.7,Alpha,Arlington,Northern,68,3,0
06/25/2021,B.1.1.7,Alpha,Blue Ridge,Northwest,67,2,1
06/25/2021,B.1.1.7,Alpha,Central Shenandoah,Northwest,36,0,0
06/25/2021,B.1.1.7,Alpha,Central Virginia,Southwest,105,7,3
06/25/2021,B.1.1.7,Alpha,Chesapeake,Eastern,75,2,2
06/25/2021,B.1.1.7,Alpha,Chesterfield,Central,123,5,1
06/25/2021,B.1.1.7,Alpha,Chickahominy,Central,66,0,1
06/25/2021,B.1.1.7,Alpha,Crater,Central,74,6,1
06/25/2021,B.1.1.7,Alpha,Cumberland Plateau,Southwest,18,2,0
06/25/2021,B.1.1.7,Alpha,Eastern Shore,Eastern,13,1,0
06/25/2021,B.1.1.7,Alpha,Fairfax,Northern,232,7,1
06/25/2021,B.1.1.7,Alpha,Hampton,Eastern,30,0,0
06/25/2021,B.1.1.7,Alpha,Henrico,Central,105,4,3
06/25/2021,B.1.1.7,Alpha,Lenowisco,Southwest,17,1,0
06/25/2021,B.1.1.7,Alpha,Lord Fairfax,Northwest,64,2,0
06/25/2021,B.1.1.7,Alpha,Loudoun,Northern,98,2,1
06/25/2021,B.1.1.7,Alpha,Mount Rogers,Southwest,224,17,2
06/25/2021,B.1.1.7,Alpha,New River,Southwest,80,5,0
06/25/2021,B.1.1.7,Alpha,Norfolk,Eastern,40,3,2
06/25/2021,B.1.1.7,Alpha,Peninsula,Eastern,81,4,2
06/25/2021,B.1.1.7,Alpha,Piedmont,Central,49,3,0
06/25/2021,B.1.1.7,Alpha,Pittsylvania-Danville,Southwest,16,1,1
06/25/2021,B.1.1.7,Alpha,Portsmouth,Eastern,44,2,1
06/25/2021,B.1.1.7,Alpha,Prince William,Northern,94,1,0
06/25/2021,B.1.1.7,Alpha,Rappahannock,Northwest,91,3,2
06/25/2021,B.1.1.7,Alpha,Rappahannock Rapidan,Northwest,45,3,0
06/25/2021,B.1.1.7,Alpha,Richmond,Central,58,2,0
06/25/2021,B.1.1.7,Alpha,Roanoke,Southwest,33,6,1
06/25/2021,B.1.1.7,Alpha,Southside,Central,9,0,0
06/25/2021,B.1.1.7,Alpha,Three Rivers,Eastern,25,1,0
06/25/2021,B.1.1.7,Alpha,Virginia Beach,Eastern,68,1,1
06/25/2021,B.1.1.7,Alpha,West Piedmont,Southwest,44,13,1
06/25/2021,B.1.1.7,Alpha,Western Tidewater,Eastern,48,2,0
06/25/2021,B.1.351,Beta,Alexandria,Northern,0,0,0
06/25/2021,B.1.351,Beta,Alleghany,Southwest,0,0,0
06/25/2021,B.1.351,Beta,Arlington,Northern,0,0,0
06/25/2021,B.1.351,Beta,Blue Ridge,Northwest,0,0,0
06/25/2021,B.1.351,Beta,Central Shenandoah,Northwest,0,0,0
06/25/2021,B.1.351,Beta,Central Virginia,Southwest,3,0,0
06/25/2021,B.1.351,Beta,Chesapeake,Eastern,17,2,2
06/25/2021,B.1.351,Beta,Chesterfield,Central,4,0,0
06/25/2021,B.1.351,Beta,Chickahominy,Central,2,0,0
06/25/2021,B.1.351,Beta,Crater,Central,4,1,0
06/25/2021,B.1.351,Beta,Cumberland Plateau,Southwest,0,0,0
06/25/2021,B.1.351,Beta,Eastern Shore,Eastern,2,0,0
06/25/2021,B.1.351,Beta,Fairfax,Northern,6,0,0
06/25/2021,B.1.351,Beta,Hampton,Eastern,8,2,0
06/25/2021,B.1.351,Beta,Henrico,Central,2,0,0
06/25/2021,B.1.351,Beta,Lenowisco,Southwest,2,1,1
06/25/2021,B.1.351,Beta,Lord Fairfax,Northwest,1,0,0
06/25/2021,B.1.351,Beta,Loudoun,Northern,3,0,0
06/25/2021,B.1.351,Beta,Mount Rogers,Southwest,1,0,0
06/25/2021,B.1.351,Beta,New River,Southwest,0,0,0
06/25/2021,B.1.351,Beta,Norfolk,Eastern,7,1,0
06/25/2021,B.1.351,Beta,Peninsula,Eastern,4,0,0
06/25/2021,B.1.351,Beta,Piedmont,Central,2,0,0
06/25/2021,B.1.351,Beta,Pittsylvania-Danville,Southwest,1,0,0
06/25/2021,B.1.351,Beta,Portsmouth,Eastern,12,3,0
06/25/2021,B.1.351,Beta,Prince William,Northern,3,1,0
06/25/2021,B.1.351,Beta,Rappahannock,Northwest,1,0,0
06/25/2021,B.1.351,Beta,Rappahannock Rapidan,Northwest,1,0,0
06/25/2021,B.1.351,Beta,Richmond,Central,2,0,0
06/25/2021,B.1.351,Beta,Roanoke,Southwest,0,0,0
06/25/2021,B.1.351,Beta,Southside,Central,0,0,0
06/25/2021,B.1.351,Beta,Three Rivers,Eastern,1,0,0
06/25/2021,B.1.351,Beta,Virginia Beach,Eastern,20,1,0
06/25/2021,B.1.351,Beta,West Piedmont,Southwest,0,0,0
06/25/2021,B.1.351,Beta,Western Tidewater,Eastern,4,0,0
06/25/2021,B.1.427,Epsilon,Alexandria,Northern,0,0,0
06/25/2021,B.1.427,Epsilon,Alleghany,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Arlington,Northern,2,0,0
06/25/2021,B.1.427,Epsilon,Blue Ridge,Northwest,22,2,0
06/25/2021,B.1.427,Epsilon,Central Shenandoah,Northwest,0,0,0
06/25/2021,B.1.427,Epsilon,Central Virginia,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Chesapeake,Eastern,2,0,0
06/25/2021,B.1.427,Epsilon,Chesterfield,Central,7,1,0
06/25/2021,B.1.427,Epsilon,Chickahominy,Central,5,0,0
06/25/2021,B.1.427,Epsilon,Crater,Central,4,0,0
06/25/2021,B.1.427,Epsilon,Cumberland Plateau,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Eastern Shore,Eastern,0,0,0
06/25/2021,B.1.427,Epsilon,Fairfax,Northern,1,0,0
06/25/2021,B.1.427,Epsilon,Hampton,Eastern,2,0,0
06/25/2021,B.1.427,Epsilon,Henrico,Central,0,0,0
06/25/2021,B.1.427,Epsilon,Lenowisco,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Lord Fairfax,Northwest,0,0,0
06/25/2021,B.1.427,Epsilon,Loudoun,Northern,2,0,0
06/25/2021,B.1.427,Epsilon,Mount Rogers,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,New River,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Norfolk,Eastern,8,1,0
06/25/2021,B.1.427,Epsilon,Peninsula,Eastern,1,0,0
06/25/2021,B.1.427,Epsilon,Piedmont,Central,0,0,0
06/25/2021,B.1.427,Epsilon,Pittsylvania-Danville,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Portsmouth,Eastern,6,1,0
06/25/2021,B.1.427,Epsilon,Prince William,Northern,1,0,0
06/25/2021,B.1.427,Epsilon,Rappahannock,Northwest,3,0,0
06/25/2021,B.1.427,Epsilon,Rappahannock Rapidan,Northwest,2,0,0
06/25/2021,B.1.427,Epsilon,Richmond,Central,2,0,1
06/25/2021,B.1.427,Epsilon,Roanoke,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Southside,Central,0,0,0
06/25/2021,B.1.427,Epsilon,Three Rivers,Eastern,1,0,0
06/25/2021,B.1.427,Epsilon,Virginia Beach,Eastern,3,0,0
06/25/2021,B.1.427,Epsilon,West Piedmont,Southwest,0,0,0
06/25/2021,B.1.427,Epsilon,Western Tidewater,Eastern,1,0,0
06/25/2021,B.1.429,Epsilon,Alexandria,Northern,3,0,0
06/25/2021,B.1.429,Epsilon,Alleghany,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Arlington,Northern,2,0,0
06/25/2021,B.1.429,Epsilon,Blue Ridge,Northwest,3,0,0
06/25/2021,B.1.429,Epsilon,Central Shenandoah,Northwest,7,0,1
06/25/2021,B.1.429,Epsilon,Central Virginia,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Chesapeake,Eastern,1,0,0
06/25/2021,B.1.429,Epsilon,Chesterfield,Central,0,0,0
06/25/2021,B.1.429,Epsilon,Chickahominy,Central,0,0,0
06/25/2021,B.1.429,Epsilon,Crater,Central,1,0,0
06/25/2021,B.1.429,Epsilon,Cumberland Plateau,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Eastern Shore,Eastern,0,0,0
06/25/2021,B.1.429,Epsilon,Fairfax,Northern,4,0,0
06/25/2021,B.1.429,Epsilon,Hampton,Eastern,0,0,0
06/25/2021,B.1.429,Epsilon,Henrico,Central,2,0,0
06/25/2021,B.1.429,Epsilon,Lenowisco,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Lord Fairfax,Northwest,0,0,0
06/25/2021,B.1.429,Epsilon,Loudoun,Northern,2,0,0
06/25/2021,B.1.429,Epsilon,Mount Rogers,Southwest,1,0,0
06/25/2021,B.1.429,Epsilon,New River,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Norfolk,Eastern,1,0,0
06/25/2021,B.1.429,Epsilon,Peninsula,Eastern,7,0,0
06/25/2021,B.1.429,Epsilon,Piedmont,Central,0,0,0
06/25/2021,B.1.429,Epsilon,Pittsylvania-Danville,Southwest,1,0,0
06/25/2021,B.1.429,Epsilon,Portsmouth,Eastern,0,0,0
06/25/2021,B.1.429,Epsilon,Prince William,Northern,7,2,0
06/25/2021,B.1.429,Epsilon,Rappahannock,Northwest,0,0,0
06/25/2021,B.1.429,Epsilon,Rappahannock Rapidan,Northwest,3,0,0
06/25/2021,B.1.429,Epsilon,Richmond,Central,1,0,0
06/25/2021,B.1.429,Epsilon,Roanoke,Southwest,2,1,0
06/25/2021,B.1.429,Epsilon,Southside,Central,0,0,0
06/25/2021,B.1.429,Epsilon,Three Rivers,Eastern,1,0,0
06/25/2021,B.1.429,Epsilon,Virginia Beach,Eastern,5,0,0
06/25/2021,B.1.429,Epsilon,West Piedmont,Southwest,0,0,0
06/25/2021,B.1.429,Epsilon,Western Tidewater,Eastern,2,0,0
06/25/2021,B.1.617.2,Delta,Alexandria,Northern,2,0,0
06/25/2021,B.1.617.2,Delta,Alleghany,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Arlington,Northern,0,0,0
06/25/2021,B.1.617.2,Delta,Blue Ridge,Northwest,1,0,0
06/25/2021,B.1.617.2,Delta,Central Shenandoah,Northwest,3,1,0
06/25/2021,B.1.617.2,Delta,Central Virginia,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Chesapeake,Eastern,1,1,0
06/25/2021,B.1.617.2,Delta,Chesterfield,Central,3,0,0
06/25/2021,B.1.617.2,Delta,Chickahominy,Central,2,0,0
06/25/2021,B.1.617.2,Delta,Crater,Central,2,0,0
06/25/2021,B.1.617.2,Delta,Cumberland Plateau,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Eastern Shore,Eastern,1,0,0
06/25/2021,B.1.617.2,Delta,Fairfax,Northern,7,1,0
06/25/2021,B.1.617.2,Delta,Hampton,Eastern,0,0,0
06/25/2021,B.1.617.2,Delta,Henrico,Central,14,3,1
06/25/2021,B.1.617.2,Delta,Lenowisco,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Lord Fairfax,Northwest,2,0,0
06/25/2021,B.1.617.2,Delta,Loudoun,Northern,3,0,0
06/25/2021,B.1.617.2,Delta,Mount Rogers,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,New River,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Norfolk,Eastern,3,0,0
06/25/2021,B.1.617.2,Delta,Peninsula,Eastern,0,0,0
06/25/2021,B.1.617.2,Delta,Piedmont,Central,0,0,0
06/25/2021,B.1.617.2,Delta,Pittsylvania-Danville,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Portsmouth,Eastern,0,0,0
06/25/2021,B.1.617.2,Delta,Prince William,Northern,3,0,0
06/25/2021,B.1.617.2,Delta,Rappahannock,Northwest,1,0,0
06/25/2021,B.1.617.2,Delta,Rappahannock Rapidan,Northwest,0,0,0
06/25/2021,B.1.617.2,Delta,Richmond,Central,0,0,0
06/25/2021,B.1.617.2,Delta,Roanoke,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Southside,Central,0,0,0
06/25/2021,B.1.617.2,Delta,Three Rivers,Eastern,0,0,0
06/25/2021,B.1.617.2,Delta,Virginia Beach,Eastern,0,0,0
06/25/2021,B.1.617.2,Delta,West Piedmont,Southwest,0,0,0
06/25/2021,B.1.617.2,Delta,Western Tidewater,Eastern,0,0,0
06/25/2021,P.1,Gamma,Alexandria,Northern,1,0,0
06/25/2021,P.1,Gamma,Alleghany,Southwest,1,0,0
06/25/2021,P.1,Gamma,Arlington,Northern,1,0,0
06/25/2021,P.1,Gamma,Blue Ridge,Northwest,5,0,0
